complete_sentence,question_text,english_translation,hint,alternate_correct_responses,option_a,option_b,option_c,option_d,correct_option,cefr_level,topic,explanation,resource
Oggi indosso una camicia bianca.,Oggi indosso una ___ bianca.,Today I'm wearing a white shirt.,,,camicia,pantaloni,scarpe,calze,A,A1,Abbigliamento (vocabolario),The feminine noun 'camicia' (shirt) agrees with the feminine article 'una' and adjective 'bianca'.,https://www.lawlessitalian.com/vocabulary/clothing/
Domani piove tutto il giorno.,Domani ___ tutto il giorno.,Tomorrow it rains all day.,,,piove,nevica,sole,vento,A,A1,Meteo (vocabolario),The impersonal verb 'piovere' (to rain) is used in third person singular form 'piove' for weather expressions.,https://www.lawlessitalian.com/vocabulary/weather/
Oggi fa sole,Write: It's sunny today.,It's sunny today.,,Oggi c'è il sole; Oggi c'è sole; C'è sole oggi; Oggi splende il sole,Oggi fa sole,Oggi fa piove,Oggi fa vento,Oggi fa freddo,A,A1,Meteo (vocabolario),"The expression 'fa sole' (it's sunny) uses the verb 'fare' for weather conditions, combined with 'oggi' (today).",https://www.lawlessitalian.com/vocabulary/weather/
Ci vediamo stasera alle otto.,Ci vediamo ___ alle otto.,We'll see each other tonight at eight.,,,stasera,ieri,domani,stamattina,A,A1,Espressioni di tempo,The time expression 'stasera' (tonight/this evening) refers to the evening of the current day.,https://www.lawlessitalian.com/vocabulary/time-expressions/
Lei indossa una camicia bianca molto elegante.,Lei indossa una ___ bianca molto elegante.,She wears a very elegant white shirt.,,,camicia,scarpe,pantaloni,calze,A,A1,Abbigliamento (vocabolario),'Camicia' means shirt. The feminine article 'una' and adjective 'bianca' indicate a feminine singular clothing item.,https://www.lawlessitalian.com/vocabulary/clothing
La studentessa studia nella biblioteca universitaria.,___ studentessa studia nella biblioteca universitaria.,The student studies in the university library.,,,La,Il,Una,Un,A,A1,Articoli determinativi,'La' is the feminine singular definite article used with 'studentessa' (female student).,https://www.lawlessitalian.com/grammar/definite-articles
I miei fratelli sono molto simpatici e divertenti.,I miei fratelli sono molto ___ e divertenti.,My brothers are very nice and fun.,,,simpatici,simpatica,simpatiche,simpatico,A,A1,Aggettivi (accordo e uso),Adjectives must agree with the noun. 'Simpatici' agrees with 'fratelli' (masculine plural).,https://www.lawlessitalian.com/grammar/adjective-agreement
A noi piace andare al cinema insieme.,A noi ___ andare al cinema insieme.,We like to go to the cinema together.,,,piace,piacciono,piacete,piaci,A,A1,Piacere (uso base: piace/piacciono),"Use 'piace' with infinitive verbs. 'Andare' is an infinitive, so we use 'piace'.",https://www.lawlessitalian.com/grammar/piacere
A Maria piacciono i fiori del giardino.,A Maria ___ i fiori del giardino.,Maria likes the flowers in the garden.,,,piacciono,piace,piaci,piacete,A,A1,Piacere (uso base: piace/piacciono),"Use 'piacciono' with plural nouns. 'I fiori' is plural, so we use 'piacciono'.",https://www.lawlessitalian.com/grammar/piacere
La vostra casa è molto grande e luminosa.,La ___ casa è molto grande e luminosa.,Your house is very big and bright.,You all,,vostra,vostro,vostri,vostre,A,A1,Aggettivi possessivi,'Vostra' agrees with feminine singular 'casa'. Possessive adjectives must agree with the noun they modify.,https://www.lawlessitalian.com/grammar/possessive-adjectives
Vorrei pagare il conto.,Write: I would like to pay the bill.,Vorrei pagare il conto.,,Voglio pagare il conto,Vorrei pagare il conto.,Voglio pagare la ricetta.,Vorrei comprare il conto.,Posso pagare il menù.,A,A1,Ristorante (frasi e vocabolario),'Vorrei pagare il conto' is the polite way to ask to pay the bill in a restaurant. 'Vorrei' means 'I would like'.,https://www.lawlessitalian.com/vocabulary/restaurant
Il mio compleanno è nel mese di luglio.,Il mio compleanno è nel mese di ___.,My birthday is in the month of July.,,,luglio,agosto,giugno,settembre,A,A1,Mesi (vocabolario),"'Luglio' means July. All options are summer months, but the context doesn't specify which one.",https://www.lawlessitalian.com/vocabulary/months
Oggi piove e fa freddo.,Oggi ___ e fa freddo.,Today it's raining and it's cold.,,,piove,nevica,sole,caldo,A,A1,Meteo (vocabolario),'Piove' means 'it's raining'. The combination of rain and cold weather is logical and commonly used together.,https://www.lawlessitalian.com/vocabulary/weather
Lui vuole comprare una macchina nuova.,Lui ___ comprare una macchina nuova.,He wants to buy a new car.,,,vuole,deve,può,sa,A,A1,"Verbi modali (potere, dovere, volere)",'Vuole' is the third person singular of 'volere' (to want). Modal verbs are followed by infinitive verbs like 'comprare'.,https://www.lawlessitalian.com/grammar/modal-verbs
Ci vediamo domani mattina alle nove.,Ci vediamo ___ mattina alle nove.,See you tomorrow morning at nine.,,,domani,ieri,oggi,stasera,A,A1,Espressioni di tempo,'Domani' means tomorrow. This is a basic time expression used in future arrangements and appointments.,https://www.lawlessitalian.com/vocabulary/time
"Buonasera, signora Rossi","Write: Good evening, Mrs. Rossi.","Good evening, Mrs. Rossi.",,"Buona sera, signora Rossi","Buonasera, signora Rossi","Buongiorno, signora Rossi","Ciao, signora Rossi","Salve, signora Rossi",A,A1,Saluti e presentazioni,"'Buonasera' is the formal evening greeting. 'Signora' is the polite title for married or older women, followed by the surname.",https://www.lawlessitalian.com/vocabulary/greetings
Il pesce nuota nell'acqua del mare.,Il ___ nuota nell'acqua del mare.,The fish swims in the sea water.,,,pesce,gatto,cane,uccello,A,A1,Animali (vocabolario),"'Pesce' means fish. Only fish naturally swim in sea water, making this the logical choice among the animal options.",https://www.lawlessitalian.com/vocabulary/animals
Gli uccelli volano nel cielo azzurro.,Gli ___ volano nel cielo azzurro.,The birds fly in the blue sky.,,,uccelli,gatti,cani,pesci,A,A1,Animali (vocabolario),"'Uccelli' means birds. Only birds can fly in the sky, making this the only logical choice among the animal options.",https://www.lawlessitalian.com/vocabulary/animals
"Come stai oggi, Marco?","Come ___ oggi, Marco?","How are you today, Marco?",,,stai,sta,stiamo,state,A,A1,Espressioni comuni,"'Come stai?' is the informal way to ask 'How are you?'. Since Marco is addressed by first name, the informal 'tu' form 'stai' is used.",https://www.lawlessitalian.com/vocabulary/common-expressions
Io studio sempre la sera.,Io studio sempre la ___.,I always study in the evening.,,,mattina,sera,notte,pomeriggio,B,A1,Espressioni di tempo,'La sera' means 'in the evening' and is a basic time expression.,https://www.lawlessitalian.com/vocabulary/time-expressions/
L'estate inizia a giugno.,L'estate inizia a ___.,Summer starts in June.,,,maggio,giugno,luglio,agosto,B,A1,Mesi (vocabolario),June (giugno) is when summer begins in the Northern Hemisphere.,https://www.lawlessitalian.com/vocabulary/months/
La studentessa è molto brava.,___ studentessa è molto brava.,The (female) student is very good.,,,La,Il,Lo,Le,A,A1,Articoli determinativi,Use 'la' as the definitive article for feminine singular nouns like 'studentessa'.,https://www.lawlessitalian.com/grammar/definite-articles/
Io bevo il caffè ogni mattina.,Io bevo il ___ ogni mattina.,I drink coffee every morning.,,Bevo il caffè ogni mattina,tè,caffè,latte,succo,B,A1,Cibo e bevande (vocabolario),Coffee (caffè) is a common morning beverage and basic food/drink vocabulary.,https://www.lawlessitalian.com/vocabulary/food-drink/
Io finisco i compiti alle sette di sera.,Io ___ i compiti alle sette di sera.,I finish my homework at seven in the evening.,,,finisco,finite,finisci,finiamo,A,A1,Presente indicativo: verbi regolari -ire con -isc-,First person singular of 'finire' requires the -isc- infix: io finisco,https://www.lawlessitalian.com/grammar/verbs/present-indicative-ire/
La mattina faccio colazione alle otto.,___ faccio colazione alle otto.,In the morning I have breakfast at eight.,,,La mattina,La sera,La notte,Il pomeriggio,A,A1,Espressioni di tempo,"Breakfast is eaten in the morning, so 'la mattina' is the correct time expression",https://www.lawlessitalian.com/vocabulary/time-expressions/
Le scarpe rosse sono molto eleganti.,Le scarpe ___ sono molto eleganti.,The red shoes are very elegant.,,,rosse,rosso,rossa,rossi,A,A1,Aggettivi (accordo e uso),"Adjectives must agree with the noun: 'scarpe' is feminine plural, so 'rosse'",https://www.lawlessitalian.com/grammar/adjectives/agreement/
In bocca al lupo per l'esame!,___ per l'esame!,Good luck with the exam!,,,In bocca al lupo,Buon appetito,Buon viaggio,Buonanotte,A,A1,Espressioni comuni,'In bocca al lupo' is the Italian expression for wishing good luck,https://www.lawlessitalian.com/vocabulary/common-expressions/
Come stai?,Write: How are you?,How are you?,,Come va?,Come stai?,Dove stai?,Chi sei?,Cosa fai?,A,A1,Espressioni comuni,'Come stai?' is the standard informal greeting asking about someone's well-being.,https://www.lawlessitalian.com/vocabulary/greetings/
La mia amica è molto simpatica.,La mia amica è molto ___.,My friend is very nice.,feminine,,simpatica,simpatico,simpatici,simpatiche,A,A1,Aggettivi (accordo e uso),"Adjectives must agree with the noun they modify. 'Amica' is feminine singular, so the adjective is 'simpatica'.",https://www.lawlessitalian.com/grammar/adjective-agreement/
A pranzo mangio sempre la pasta.,A pranzo mangio sempre la ___.,At lunch I always eat pasta.,,,pasta,pane,carne,pesce,A,A1,Cibo e bevande (vocabolario),'La pasta' is feminine and refers to the staple Italian food. It requires the definite article 'la'.,https://www.lawlessitalian.com/vocabulary/food/
Io devo andare dal dottore.,Io ___ andare dal dottore.,I have to go to the doctor.,,,devo,devi,deve,devono,A,A1,"Verbi modali (potere, dovere, volere)",'Dovere' (must/have to) conjugated with 'io' is 'devo'. Modal verbs are followed by infinitives.,https://www.lawlessitalian.com/grammar/modal-verbs/
Le studentesse sono brave.,Le ___ sono brave.,The students are good.,female students,,studentesse,studenti,studentessa,studente,A,A1,Nomi (genere e numero),"Feminine plural nouns ending in -a change to -e. 'Le' indicates feminine plural, and 'brave' confirms feminine gender.",https://www.lawlessitalian.com/grammar/noun-gender-and-number/
Maria parla italiano molto bene.,Maria ___ italiano molto bene.,Maria speaks Italian very well.,,,parla,parlano,parlate,parliamo,A,A1,Presente indicativo: verbi regolari -are,Third person singular of -are verbs ends in -a: parlare becomes parla.,https://www.lawlessitalian.com/grammar/present-indicative/
Il treno parte alle otto e un quarto.,Il treno parte alle otto e un ___.,The train leaves at quarter past eight.,,,mezzo,quarto,mezza,tre,B,A1,Orario (telling time),Use 'un quarto' to express quarter past the hour in Italian time expressions.,https://www.lawlessitalian.com/grammar/telling-time/
Oggi pomeriggio studio matematica.,Oggi ___ studio matematica.,This afternoon I study math.,,,mattina,sera,pomeriggio,notte,C,A1,Espressioni di tempo,'Pomeriggio' means afternoon and is a basic time expression used with 'oggi'.,https://www.lawlessitalian.com/vocabulary/time-expressions/
Il mio fratello maggiore lavora in banca.,Il mio ___ maggiore lavora in banca.,My older brother works at the bank.,,,padre,fratello,nonno,zio,B,A1,Famiglia (vocabolario),'Fratello' means brother and can be modified with 'maggiore' (older).,https://www.lawlessitalian.com/vocabulary/family/
Noi abbiamo due macchine nuove.,Noi ___ due macchine nuove.,We have two new cars.,,,ho,hai,ha,abbiamo,D,A1,Verbo avere (to have),First person plural of 'avere' is 'abbiamo' - we have.,https://www.lawlessitalian.com/grammar/avere/
"Vorrei un menù, per favore.","Vorrei un ___, per favore.","I would like a menu, please.",,,conto,menù,bicchiere,piatto,B,A1,Ristorante (frasi e vocabolario),Asking for a menu (menù) is a basic restaurant phrase using the conditional 'vorrei'.,https://www.lawlessitalian.com/vocabulary/restaurant/
La scuola chiude a dicembre per le vacanze.,La scuola chiude a ___ per le vacanze.,The school closes in December for the holidays.,,,dicembre,martedì,inverno,sera,A,A1,Mesi (vocabolario),Months in Italian are masculine and lowercase. 'A' is used with months to mean 'in'.,https://www.lawlessitalian.com/grammar/months/
Io vado a letto tardi stasera.,Io vado a letto tardi ___.,I'm going to bed late tonight.,,,stasera,domani,ieri,sempre,A,A1,Espressioni di tempo,'Stasera' means 'tonight' or 'this evening'. It's a basic time expression used frequently in A1.,https://www.lawlessitalian.com/vocabulary/time-expressions/
Compro una mela per merenda.,Compro ___ mela per merenda.,I'm buying an apple for a snack.,,,una,un,la,il,A,A1,Articoli indeterminativi,"'Mela' is feminine singular, so it takes the indefinite article 'una' meaning 'a/an'.",https://www.lawlessitalian.com/grammar/articles/
Lei parla molto bene l'italiano.,___ parla molto bene l'italiano.,She speaks Italian very well.,formal or she,,Lei,Lui,Noi,Voi,A,A1,Pronomi soggetto,'Lei' is the subject pronoun for 'she' or formal 'you'. It's capitalized when meaning formal 'you'.,https://www.lawlessitalian.com/grammar/subject-pronouns/
Oggi non ho tempo per uscire.,Oggi ___ ho tempo per uscire.,Today I don't have time to go out.,,,non,mai,poco,molto,A,A1,Forme negative semplici,'Non' is placed directly before the verb to make a sentence negative in Italian.,https://www.lawlessitalian.com/grammar/negation/
La mia macchina nuova è rossa.,La mia macchina nuova è ___.,My new car is red.,feminine,,rossa,rosso,rossi,rosse,A,A1,Aggettivi (accordo e uso),"Adjectives must agree with the noun. 'Macchina' is feminine singular, so 'rosso' becomes 'rossa'.",https://www.lawlessitalian.com/grammar/adjective-agreement/
Il televisore è nel soggiorno.,Il televisore è nel ___.,The television is in the living room.,,salotto,bagno,soggiorno,cucina,giardino,B,A1,Casa (vocabolario),The living room (soggiorno) is where televisions are typically placed in Italian homes.,https://www.lawlessitalian.com/vocabulary/house-home/
Il libro è sulla scrivania.,Il libro è ___ scrivania.,The book is on the desk.,,,nella,dalla,sulla,alla,C,A1,Preposizioni semplici,Use 'su' (on) with the definite article to form 'sulla' when indicating position on top of something.,https://www.lawlessitalian.com/grammar/prepositions/
Io vado a casa con l'autobus.,Io vado a casa ___ l'autobus.,I go home by bus.,,,di,da,per,con,D,A1,Preposizioni semplici,Use 'con' to indicate the means of transportation when traveling 'with/by' something.,https://www.lawlessitalian.com/grammar/prepositions/
